Country,Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality
Singapore,0.5789,0.5758,0.16,0.2989
China,0.1053,0.3725,0.0,0.0555
United States,1.1579,0.76,0.3644,0.4968
Netherland,0.7895,0.5938,0.1617,0.3636
United Kingdom,0.6842,0.5429,0.1738,0.3198
India,1.0,0.6786,0.2509,0.4339
Canada,0.1053,0.4419,0.0,0.0922
Germany,0.5789,0.5429,0.0512,0.2842
Switzerland,0.1579,0.38,0.0,0.0675
Australia,0.2105,0.38,0.0,0.0876
Ireland,0.1579,0.4634,0.0,0.145
Japan,0.3684,0.5,0.0288,0.1728
Luxembourg,0.3158,0.3878,0.1159,0.0616
Bermuda,0.1579,0.4872,0.0054,0.0944
Cyprus,0.3158,0.2923,0.1084,0.0118
Russia,0.1053,0.2289,0.0,0.0022
France,0.3684,0.4318,0.0078,0.1469
United Arab Emirates,0.2105,0.4524,0.0,0.148
Cayman Island,0.2105,0.4318,0.0,0.1333
Mauritius,0.3158,0.4318,0.0074,0.1078
Average (All Countries),0.39473499999999995,0.4687900000000001,0.07178500000000002,0.17619
